@relation JM1-weka.filters.unsupervised.attribute.Remove-R19-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R6

@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute LOC_TOTAL numeric
@attribute label {Y,N}

@data
3,1,0,0,1,1,57.51,4.26,0.08,55,0.23,58.11,245.27,29,26,5,17,N
3,3,0,0,2,1,20.01,12.6,0.08,55,0.08,176.52,252.17,18,37,14,14,N
1,5,0,0,3,1,16.47,8.44,0.05,34,0.12,65.14,138.97,15,19,9,13,N
5,9,0,4,5,1,29.77,9,0.09,62,0.11,133.98,267.96,27,35,8,34,N
4,1,0,0,1,1,26.54,5.5,0.05,35,0.18,44.6,145.95,11,24,9,14,Y
4,5,0,4,3,1,17.74,9.5,0.06,39,0.11,88.96,168.56,19,20,10,23,N
3,9,0,0,5,1,37.19,17.05,0.21,128,0.06,600.67,634.14,62,66,11,29,N
1,15,0,17,8,1,18.59,38.18,0.24,151,0.03,1505.57,709.77,56,95,15,64,N
0,1,0,0,1,1,5.99,3.75,0.01,8,0.27,4.68,22.46,3,5,5,4,Y
10,11,0,8,6,1,33.66,14.29,0.16,93,0.07,381.59,480.8,40,53,15,49,N
3,3,1,0,2,1,54.87,10.02,0.18,104,0.1,305.92,549.68,51,53,11,20,N
0,5,0,0,3,1,24.91,2.92,0.02,21,0.34,11.77,72.65,7,14,5,15,N
2,8,0,0,5,1,24.52,13.33,0.11,66,0.08,242.21,326.98,25,41,16,27,N
0,9,0,0,5,1,12.64,12,0.05,41,0.08,101.15,151.72,15,26,8,12,N
4,3,0,0,2,1,19.11,16.8,0.11,72,0.06,299.67,321.08,28,44,12,18,N
4,5,0,3,3,1,23.84,8.73,0.07,46,0.11,100.89,208.08,16,30,12,18,N
2,31,0,0,16,16,37.55,31.86,0.4,212,0.03,2117.94,1196.5,88,124,21,57,N
6,7,1,3,4,3,29.48,10,0.1,62,0.1,163.78,294.8,25,37,12,35,Y
10,23,0,0,12,1,8.11,102,0.28,207,0.01,4692,828,68,139,12,27,N
6,17,0,7,10,1,26.46,19.97,0.18,98,0.05,586.39,528.45,33,65,23,58,N
5,7,0,1,4,1,22.54,18.67,0.14,93,0.05,436.27,420.69,24,69,14,30,N
6,31,0,4,16,16,55.98,23.24,0.43,226,0.04,1678.88,1300.6,79,147,20,62,N
5,15,3,9,8,6,54.87,30,0.55,281,0.03,2743.49,1646.09,114,167,20,65,N
0,1,0,0,1,1,40.06,5,0.07,49,0.2,55.63,200.29,24,25,5,11,N
8,21,0,0,11,3,98.09,39.67,1.3,595,0.03,8574.17,3890.8,272,323,21,152,N
9,19,7,4,10,6,37.52,17.5,0.22,127,0.06,638.34,656.58,55,72,14,53,Y
1,1,0,2,1,1,13.54,9,0.04,32,0.11,60.92,121.84,10,22,9,13,N
1,5,0,0,3,1,55.21,7.13,0.13,75,0.14,155.9,393.59,35,40,11,20,N
0,1,0,0,1,1,6.2,2.5,0.01,6,0.4,2.15,15.51,1,5,5,4,N
5,23,0,4,12,4,14.64,46.67,0.23,149,0.02,1771.15,683.16,56,93,15,47,N
0,1,0,0,1,1,11.07,3,0.01,10,0.33,5.54,33.22,4,6,6,4,Y
1,3,0,0,2,1,18.13,23.33,0.14,88,0.04,548.39,423.05,35,53,16,17,N
3,15,0,0,8,6,35.8,12.93,0.15,87,0.08,332.72,463.01,35,52,17,36,N
2,5,0,0,3,1,16.81,13,0.07,49,0.08,157.81,218.51,18,31,13,18,N
2,3,0,1,2,1,26.21,4.77,0.04,30,0.21,33.17,125.1,15,15,7,12,Y
5,16,12,5,14,1,44.4,15.92,0.24,124,0.06,625.15,706.85,47,77,21,60,Y
1,9,0,0,5,5,14.72,14.62,0.07,49,0.07,174.87,215.22,18,31,13,19,N
5,25,2,0,13,1,49.37,20.58,0.34,181,0.05,1162.11,1016.26,65,116,19,53,N
5,7,0,2,4,1,9.97,12.6,0.04,33,0.08,87.95,125.64,14,19,9,21,N
1,7,0,0,4,3,12.94,11.38,0.05,33,0.09,93,147.16,13,20,14,13,N
3,17,0,2,9,9,17.57,26.25,0.15,94,0.04,672.65,461.25,35,59,18,25,N
7,3,0,2,2,1,28.49,23.22,0.22,127,0.04,853.55,661.6,44,83,19,36,N
1,3,0,0,2,1,13.95,2.5,0.01,11,0.4,4.84,34.87,4,7,5,9,N
6,7,0,10,4,4,30.81,23.85,0.24,140,0.04,973.49,734.71,53,87,18,36,N
14,1,0,5,1,1,24.82,8.73,0.07,51,0.11,105.04,216.64,24,27,8,33,Y
2,1,0,4,1,1,17.41,3.5,0.02,16,0.29,11.85,60.92,7,9,7,12,N
1,1,0,0,1,1,28.56,6.55,0.06,44,0.15,67.97,186.91,18,26,8,9,N
3,5,0,0,3,1,39.2,11.87,0.16,90,0.08,306.82,465.29,42,48,13,31,N
13,37,2,1,19,12,151.54,17.22,0.87,392,0.06,2497.43,2610.02,183,209,16,145,Y
4,13,0,0,7,1,28.6,29.57,0.28,160,0.03,1389.31,845.66,69,91,18,52,Y
7,1,0,1,1,1,43.55,9.28,0.13,85,0.11,208.4,404.17,27,58,11,28,Y
0,11,0,0,6,3,15.01,15,0.08,54,0.07,187.65,225.18,24,30,10,18,N
1,3,0,0,2,1,24.38,7.5,0.06,41,0.13,76.18,182.84,18,23,10,15,Y
3,1,0,0,1,1,13.45,3.6,0.02,14,0.28,9.69,48.43,6,8,6,9,N
5,1,0,0,1,1,65.65,6.36,0.14,86,0.16,147.7,417.79,40,46,7,24,N
4,1,1,0,1,1,34.61,9.82,0.11,80,0.1,185.36,339.83,27,53,8,17,N
9,13,0,0,7,3,30.34,21.47,0.22,127,0.05,777.13,651.42,51,76,16,46,N
4,5,0,0,3,1,38.34,12.89,0.16,98,0.08,354.14,494.35,35,63,14,22,N
2,9,3,1,5,5,17.89,18.46,0.11,68,0.05,338.81,330.34,30,38,16,22,N
3,7,1,4,4,3,11.48,15.17,0.06,41,0.07,146.75,174.17,14,27,13,25,N
10,1,0,12,1,1,56.78,22.67,0.43,233,0.04,1620.65,1286.99,85,148,16,78,N
2,5,0,0,3,1,21.53,10.08,0.07,48,0.1,121.63,217.13,22,26,11,16,N
3,7,0,0,4,4,15.93,12,0.06,45,0.08,127.44,191.16,14,31,12,19,N
13,11,4,10,6,1,22.59,41.11,0.31,177,0.02,2121.52,928.88,74,103,20,76,N
4,3,0,0,2,1,14.3,7,0.03,24,0.14,38.92,100.08,7,17,12,14,N
7,15,0,0,8,4,15.99,31.17,0.17,106,0.03,862.7,498.25,33,73,17,34,N
4,3,0,0,2,1,18.47,13.5,0.08,61,0.07,187,249.34,24,37,9,22,N
2,9,0,0,5,5,13.27,19,0.08,55,0.05,266.18,252.17,19,36,16,17,N
11,17,0,1,9,3,25.68,43.45,0.37,202,0.02,2693.47,1115.76,73,129,25,60,N
7,17,0,9,9,1,24.07,22.94,0.18,106,0.04,703.79,552.2,39,67,20,51,N
1,7,0,0,4,1,45.1,17.78,0.27,165,0.06,791.55,801.57,79,86,9,38,N
1,1,0,0,1,1,13.32,3.5,0.02,13,0.29,9.06,46.6,5,8,7,7,N
3,5,0,0,3,1,39.4,7.87,0.1,62,0.13,135.51,310,23,39,13,24,N
0,17,0,0,9,7,33.18,55,0.61,365,0.02,5576.39,1825,66,299,20,8,N
10,17,0,25,9,5,90.41,7.56,0.23,126,0.13,287.25,683.71,44,82,11,82,N
8,18,7,3,14,1,50.52,30.64,0.52,247,0.03,2634.72,1547.9,96,151,30,79,Y
2,7,0,0,4,1,10.4,10,0.03,26,0.1,57.78,104,12,14,10,13,N
4,5,0,2,3,1,48.25,6.18,0.1,65,0.16,102.26,298.02,30,35,7,27,N
1,3,0,0,2,1,36.8,7.33,0.09,55,0.14,109.95,269.88,22,33,12,19,N
0,3,0,0,2,1,7.97,5.83,0.02,14,0.17,15.07,46.51,5,9,7,7,N
1,15,0,0,8,8,44.27,19.09,0.28,149,0.05,896.42,845.19,70,79,18,52,N
2,5,0,1,3,3,17.36,6.72,0.04,27,0.15,43.58,116.69,11,16,11,11,Y
0,3,0,0,2,1,26.54,3.85,0.03,25,0.26,21.86,102.19,11,14,7,8,N
4,7,1,0,4,1,21.09,10,0.07,46,0.1,117.17,210.91,20,26,12,20,N
43,60,0,2,37,9,77.06,49.6,1.27,567,0.02,10533.45,3822.41,213,354,34,255,N
