@relation KC1-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-R17-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R4

@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_VOLUME numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
6,15,1,8,45,23.87,27.06,17479.25,0.22,124,0.04,645.97,78,17,57,N
5,17,0,8,82,69.72,22.29,34646.7,0.52,274,0.04,1554.24,167,36,96,Y
12,31,0,13,95,59.66,33.33,66290.05,0.66,334,0.03,1988.7,194,42,112,Y
1,1,0,1,12,89.39,2.5,558.7,0.07,47,0.4,223.48,25,22,15,N
0,1,0,1,3,16.84,1.5,37.9,0.01,9,0.67,25.27,5,4,8,N
3,3,0,2,21,44.72,7.15,2284.41,0.11,68,0.14,319.63,41,17,26,Y
0,3,0,2,5,17.08,3.5,209.28,0.02,18,0.29,59.79,15,3,7,Y
7,25,0,12,71,37.62,29.7,33183.4,0.37,196,0.03,1117.29,115,30,82,Y
4,5,0,3,14,16.07,15.2,3715.23,0.08,52,0.07,244.42,33,10,20,N
0,1,0,1,8,25.66,5.2,693.88,0.04,32,0.19,133.44,19,10,35,Y
2,23,0,12,57,55.45,14.29,11325.25,0.26,151,0.07,792.44,102,24,63,N
0,3,0,1,7,8.82,6.67,392.07,0.02,17,0.15,58.81,12,3,9,N
2,7,0,1,22,22.36,12.46,3472.18,0.09,60,0.08,278.63,33,13,29,Y
6,9,0,2,13,19.94,21,8794.04,0.14,81,0.05,418.76,51,15,21,Y
2,1,0,1,13,46.22,3.72,639.24,0.06,38,0.27,171.9,21,16,23,N
11,53,0,18,137,68.18,48.32,159215.89,1.1,497,0.02,3294.79,285,68,153,Y
11,29,0,12,108,68.03,32.61,72378.03,0.74,350,0.03,2218.95,212,55,123,N
5,1,0,1,10,28.2,3.38,321.25,0.03,25,0.3,95.18,16,8,21,Y
3,7,0,4,22,34.8,7.88,2157.9,0.09,57,0.13,274.02,36,16,32,N
2,5,0,3,14,19.35,10.67,2202.02,0.07,47,0.09,206.44,31,9,22,Y
0,1,1,1,3,11.86,5.25,326.92,0.02,18,0.19,62.27,12,4,6,N
0,1,0,1,0,0,0,0,0,1,0,0,1,0,5,N
0,3,0,2,5,10.75,5,268.87,0.02,15,0.2,53.77,10,4,7,N
6,19,0,10,54,42.36,25,26476.59,0.35,199,0.04,1059.06,124,24,69,Y
1,5,2,3,13,17.3,8.13,1142,0.05,32,0.12,140.55,22,8,19,N
2,3,0,2,25,119.9,6.97,5824.19,0.28,154,0.14,835.64,108,33,32,N
1,15,0,3,12,22.55,17,6517.36,0.13,76,0.06,383.37,44,16,15,Y
1,5,0,3,21,29.72,11,3595.9,0.11,68,0.09,326.9,46,14,25,N
3,3,0,2,20,38.84,7.2,2013.72,0.09,61,0.14,279.68,37,15,27,N
17,7,0,5,19,20.51,15,4615.62,0.1,61,0.07,307.71,36,15,38,Y
